redshift,scale_factor,system_id,sep_BH1_BH2_com,sep_BH1_BH3_com,sep_BH2_BH3_com,sep_BH1_BH2,sep_BH1_BH3,sep_BH2_BH3,min_separation,max_separation,mean_separation,separation_ratio,min_separation_com,max_separation_com,BH1_mass,BH2_mass,BH3_mass,BH1_Lbol,BH2_Lbol,BH3_Lbol,BH1_id,BH2_id,BH3_id,halo_id,halo_mass
0.06,0.9433962264150942,0,8.150865728817488,12.624778264053074,7.90958567880947,7.689495970582535,11.910168173634974,7.461873281895725,7.461873281895725,11.910168173634974,9.020512475371078,1.5961364825816418,7.90958567880947,12.624778264053074,64898112.51,2143339505.9999998,10260914.829,3.146078723677794e+42,1.8798701854019407e+43,5.139941935505727e+43,1981809455.0,1981809013.0,1982123566.0,53359.0,
0.06,0.9433962264150942,1,10.564789021773457,12.373254749265044,10.171348640195182,9.966782096012695,11.672881838929285,9.595611924712435,9.595611924712435,11.672881838929285,10.411758619884806,1.2164812343928866,10.171348640195182,12.373254749265044,70733230.17,2267345214.0,3157307.1810000003,1.2709386291981494e+41,3.9014049703256385e+43,9.6780961592212e+43,1981809775.0,1981810355.0,1984571017.0,50825.0,
0.06,0.9433962264150942,2,8.552663471340068,9.364355376583992,0.9554471354250422,8.06855044466044,8.834297525079236,0.9013652220990963,0.9013652220990963,8.834297525079236,5.934737730612923,9.801018841736488,0.9554471354250422,9.364355376583992,48515939.04,923619521.4,107656985.00999999,9.190934678248135e+42,1.9177623268120716e+44,3.2377851203348904e+43,1981813865.0,1981810195.0,1981815303.0,19252.0,
0.08,0.9259259259259258,0,40.984947910296675,6.96191483303777,36.312658437622886,37.949025842867286,6.446217437997934,33.622831886687855,6.446217437997934,37.949025842867286,26.006025055851023,5.887022305386815,6.96191483303777,40.984947910296675,2130536732.9999998,131598767.85,9967267.400999999,1.1930977851073248e+44,2.1245116785438165e+43,1.5307986757421937e+43,1981809013.0,1982113872.0,1982123566.0,53654.0,
0.08,0.9259259259259258,1,6.6339756605123315,16.949629068957716,12.774258443133702,6.142570056029935,15.694100989775661,11.828017076975648,6.142570056029935,15.694100989775661,11.221562707593748,2.554973056329954,6.6339756605123315,16.949629068957716,44170164.18,347257795.5,14776530.519,5.026316925307099e+42,7.954643694455635e+43,2.1719154158303025e+43,1981812524.0,1981809800.0,1981810643.0,52148.0,
0.08,0.9259259259259258,2,4.458882728784913,3.8342034174824255,3.9268337376181486,4.12859511924529,3.550188349520764,3.635957164461248,3.550188349520764,4.12859511924529,3.7715802110757672,1.1629228403621472,3.8342034174824255,4.458882728784913,48404835.66,906521945.7,104060461.08,6.08858494158653e+40,1.6857795094908482e+45,9.964282896030128e+43,1981813865.0,1981810195.0,1981815303.0,19387.0,
0.08,0.9259259259259258,3,3.9168810185492258,4.750934734728836,2.4175131742992235,3.626741683841875,4.39901364326744,2.2384381243511324,2.2384381243511324,4.39901364326744,3.421397817153483,1.9652156543494383,2.4175131742992235,4.750934734728836,1416601.9437,301793018.1,16613499.468,7.682555226356753e+40,2.2196682273324502e+44,1.500090968770676e+44,1981983893.0,1981808887.0,1982310818.0,89764.0,
0.08,0.9259259259259258,4,6.092235420979779,11.062747481104877,8.133534643998882,5.640958723129424,10.243284704726737,7.53105059629526,5.640958723129424,10.243284704726737,7.805098008050474,1.8158765570693784,6.092235420979779,11.062747481104877,3664599.639,839274534.3,2745408.324,3.3024044402573307e+41,3.6106450906913785e+44,1.116163451576551e+43,1982048609.0,1981808650.0,1981904026.0,62992.0,
0.08,0.9259259259259258,5,72.28277254194113,2.04674076138816,71.1218029604306,66.92849309438992,1.8951303346186663,65.85352125965795,1.8951303346186663,66.92849309438992,44.89238156288885,35.31603704072265,2.04674076138816,72.28277254194113,4062919.194,31669839.27,26562468.66,6.634845499071574e+40,2.3462089835105504e+43,2.792187825040582e+43,1982415535.0,1981967682.0,1982352448.0,100646.0,
0.08,0.9259259259259258,6,14.145434527985865,95.25067394404893,90.2085549345591,13.097624562949873,88.19506846671196,83.52643975422139,13.097624562949873,88.19506846671196,61.60637759462774,6.733668997979622,14.145434527985865,95.25067394404893,1021790.7069,97597350.47999999,3752486.793,1.4408241201550447e+40,6.462500252595016e+43,1.312992601179499e+43,1983545879.0,1981814236.0,1985124659.0,1222.0,
0.1,0.9090909090909091,0,5.594255760174222,7.241483376355967,1.9361070732623111,5.085687054703838,6.583166705778152,1.7600973393293737,1.7600973393293737,6.583166705778152,4.476317033270455,3.7402287695556926,1.9361070732623111,7.241483376355967,18091194.333,294810230.4,7189065.66,5.748954671759672e+40,2.0607528671530075e+43,1.4929525363604835e+43,1981808859.0,1981808887.0,1982033596.0,90204.0,
0.1,0.9090909090909091,1,2.7401911867399393,4.7926645096873814,3.2910602238290414,2.4910828970363084,4.356967736079437,2.991872930753674,2.4910828970363084,4.356967736079437,3.2799745212898066,1.7490255909440067,2.7401911867399393,4.7926645096873814,3478212.768,883638233.4,101005715.46000001,1.1256452814345168e+40,1.3107520317952538e+43,1.4553201711108453e+43,1981820547.0,1981810195.0,1981815303.0,19514.0,
0.1,0.9090909090909091,2,5.40092001005154,4.764595301965722,2.7080924195954,4.909927281865037,4.331450274514292,2.4619021996321817,2.4619021996321817,4.909927281865037,3.9010932520038373,1.994363253990593,2.7080924195954,5.40092001005154,3108087.189,47861066.25,12013082.829,4.458706014631601e+40,4.959181023829892e+43,2.4400882995100973e+43,1981856492.0,1981811371.0,1986306452.0,68656.0,
0.1,0.9090909090909091,3,4.323916182576383,4.420511230877332,5.307363203300951,3.930832893251257,4.018646573524847,4.8248756393645005,3.930832893251257,4.8248756393645005,4.258118368713535,1.2274435903007228,4.323916182576383,5.307363203300951,9805072.395000001,2121576783.0,64173949.44,8.338002951298683e+41,5.867423424950812e+44,2.0262459338342905e+44,1982123566.0,1981809013.0,1981809455.0,54023.0,
0.1,0.9090909090909091,4,1.7952106895164224,3.579788987158486,2.0410183117132434,1.6320097177422022,3.2543536246895326,1.855471192466585,1.6320097177422022,3.2543536246895326,2.24727817829944,1.9940773570832386,1.7952106895164224,3.579788987158486,6159268.74,504479033.70000005,66498558.69,3.2287200147343813e+41,5.0801122385423635e+43,4.046338419866922e+43,1982189012.0,1981811972.0,1981834893.0,83549.0,
0.12,0.8928571428571428,0,3.2547950950268687,7.413973053049944,5.262003844877062,2.9060670491311327,6.619618797366021,4.698217718640233,2.9060670491311327,6.619618797366021,4.741301188379129,2.2778616891668695,3.2547950950268687,7.413973053049944,17879460.759,291248152.5,13220485.869,1.0988369228720544e+40,1.8917197667227262e+43,1.8408117572712673e+43,1981808859.0,1981808887.0,1982310818.0,91049.0,
