redshift,system_number,BH1_id,BH1_halo_pynbody,BH1_mass,BH1_mdot,BH1_Lbol,BH1_x,BH1_y,BH1_z,BH2_id,BH2_halo_pynbody,BH2_mass,BH2_mdot,BH2_Lbol,BH2_x,BH2_y,BH2_z,BH3_id,BH3_halo_pynbody,BH3_mass,BH3_mdot,BH3_Lbol,BH3_x,BH3_y,BH3_z,separation_BH1_BH2_kpc,separation_BH1_BH3_kpc,separation_BH2_BH3_kpc,Halo1_Mvir,Halo1_M200,Halo2_Mvir,Halo2_M200,Halo3_Mvir,Halo3_M200
0.77,2,1981817577.0,45213.0,78696435.51,0.04285868230803658,2.432508788827403e+44,-3056.40771484375,1044.728515625,367.2946472167969,1982163700.0,45213.0,18183720.75,0.024762920302625648,1.405456678304698e+44,-3055.880859375,1044.8812255859375,365.0877990722656,1983514870.0,45213.0,1711382.3076,0.0019067522532973558,1.0822058365972092e+43,-3053.4404296875,1047.240478515625,365.98419189453125,2.2739999450620783,4.102685938995696,3.5107394573906694,,,,,,
0.77,3,1982190331.0,69638.0,8183082.512999999,0.003122091789753357,1.7719900167525315e+43,6421.79296875,943.9566040039062,5134.6923828125,1982215810.0,69638.0,2768963.037,0.0028593941481667934,1.622892030638357e+43,6420.25634765625,946.24169921875,5134.09423828125,1983007195.0,69638.0,7241332.035,0.004630060832147007,2.627860461517552e+43,6421.79638671875,948.707275390625,5137.3154296875,2.8179143718224533,5.426717720274926,4.338992999423081,,,,,,
0.84,0,1982076614.0,115436.0,20763987.24,0.009059657317606258,5.141944376742855e+43,-4991.75439453125,-2000.383544921875,5728.58642578125,1982265886.0,115436.0,26893389.48,0.002586665184089838,1.468100617006728e+43,-4993.28857421875,-2000.640869140625,5728.09619140625,1983756145.0,115436.0,2890201.116,0.003078567102008684,1.7472869274907249e+43,-4990.9228515625,-2001.2044677734375,5725.49609375,1.63102814492103,3.303865932580319,3.560167822903777,,,,,,
0.91,0,1981809455.0,66434.0,46359975.96,0.0021829139893291983,1.2389455714325294e+43,3705.00341796875,4149.4697265625,4063.8544921875,1981812636.0,66434.0,80668819.17,0.002756859156969846,1.5646967586847565e+43,3704.2548828125,4150.001953125,4063.098388671875,1982253278.0,66434.0,4027696.635,0.005321273303957659,3.0201684658892225e+43,3702.068115234375,4145.05322265625,4065.784423828125,1.189648065737621,5.6432388779703775,6.040419733237438,,,,,,
0.91,1,1981809936.0,77998.0,481856155.5,0.014780800876920004,8.389065202845434e+43,3068.109619140625,-1802.818359375,4929.05322265625,1982192857.0,77998.0,25701517.02,0.0037016438182536538,2.1009234619707884e+43,3072.94970703125,-1812.6199951171875,4924.75634765625,1982438806.0,77998.0,8127112.692,0.01188959637530459,6.748118729052868e+43,3071.624755859375,-1812.36962890625,4925.93603515625,11.74570767459872,10.644237582854178,1.791603037809544,,,,,,
0.98,0,1981839323.0,114422.0,11373879.996,0.0049419043255543695,2.804851912864577e+43,-4951.0595703125,-2350.732177734375,2723.998779296875,1981863937.0,114422.0,7343933.4180000005,0.0026122870125420096,1.4826426699909486e+43,-4949.9599609375,-2349.8173828125,2725.439208984375,1982231187.0,114422.0,5315719.314,0.0021049471563038243,1.1946943260936829e+43,-4955.546875,-2352.746337890625,2724.10791015625,2.0299823179790324,4.919822561632932,6.447072448887283,,,,,,
1.0,0,1981925789.0,37820.0,4003982.634,0.001831126380035662,1.0392832380792134e+43,-5988.50830078125,3094.734619140625,-5349.0625,1981809097.0,37820.0,71477702.46000001,0.019579577682910885,1.1112682945522758e+44,-5986.91259765625,3095.938720703125,-5343.8134765625,1982241422.0,37820.0,25569108.87,0.002334647277474035,1.3250640746373718e+43,-5987.30712890625,3094.199462890625,-5346.8193359375,5.61679411082283,2.600190588494732,3.4951199160893234,,,,,,
1.06,0,1981809097.0,38161.0,65992620.18,0.07740280952223046,4.393112534107316e+44,-5795.37255859375,2990.695556640625,-5145.59033203125,1982241422.0,38161.0,24336817.080000002,0.0021290194696374706,1.208356928534571e+43,-5805.6728515625,2987.3662109375,-5166.6904296875,1982385665.0,38161.0,3195396.924,0.002516712920031361,1.4283981604781673e+43,-5793.908203125,2992.10302734375,-5147.5517578125,23.714862410654725,2.823561901989292,22.959380297895812,,,,,,
1.14,0,1982609533.0,109341.0,3642717.4499999997,0.001871985901776471,1.0624736724064874e+43,-1350.3546142578125,-138.36636352539062,2573.205322265625,1981810971.0,109341.0,40311412.38,0.02178575346997327,1.236483109911197e+44,-1350.5916748046875,-136.28416442871094,2574.348876953125,1982816159.0,109341.0,5981144.933999999,0.006717505619219732,3.812621055474079e+43,-1347.867431640625,-136.8417205810547,2577.3017578125,2.387355881388781,5.0290553455548785,4.05609110469931,,,,,,
1.19,0,1981808916.0,89425.0,29472859.53,0.010097594060076988,5.731040940692396e+43,3556.1689453125,-1674.539794921875,4936.90283203125,1982379053.0,89425.0,14423787.243,0.002657399357315818,1.5082468578094628e+43,3556.202880859375,-1677.21435546875,4939.4033203125,1982807176.0,89425.0,10393223.424,0.002531469071698549,1.4367732356523693e+43,3548.74755859375,-1674.2044677734375,4950.52099609375,3.661538936691864,15.512698590473697,13.720202943094911,,,,,,
