redshift,BH1_id,BH2_id,BH3_id,BH1_halo,BH2_halo,BH3_halo,num_unique_halos,config_type,BH1_mass,BH2_mass,BH3_mass,BH1_Lbol,BH2_Lbol,BH3_Lbol,sep_BH1_BH2_kpc,sep_BH1_BH3_kpc,sep_BH2_BH3_kpc,min_separation,max_separation,mean_separation,Halo1_Mvir,Halo1_M200,Halo1_Rvir,Halo1_R200
0.77,1982190331.0,1982215810.0,1983007195.0,69638.0,69638.0,69638.0,1,All in same halo,8183082.512999999,2768963.037,7241332.035,1.7719900167525315e+43,1.622892030638357e+43,2.627860461517552e+43,2.8179143718224533,5.426717720274926,4.338992999423081,2.8179143718224533,5.426717720274926,4.194541697173487,,,,
0.84,1982076614.0,1982265886.0,1983756145.0,115436.0,115436.0,115436.0,1,All in same halo,20763987.24,26893389.48,2890201.116,5.141944376742855e+43,1.468100617006728e+43,1.7472869274907249e+43,1.63102814492103,3.303865932580319,3.560167822903777,1.63102814492103,3.560167822903777,2.831687300135042,,,,
0.91,1981809455.0,1981812636.0,1982253278.0,66434.0,66434.0,66434.0,1,All in same halo,46359975.96,80668819.17,4027696.635,1.2389455714325294e+43,1.5646967586847565e+43,3.0201684658892225e+43,1.189648065737621,5.6432388779703775,6.040419733237438,1.189648065737621,6.040419733237438,4.291102225648479,,,,
0.91,1981809936.0,1982192857.0,1982438806.0,77998.0,77998.0,77998.0,1,All in same halo,481856155.5,25701517.02,8127112.692,8.389065202845434e+43,2.1009234619707884e+43,6.748118729052868e+43,11.74570767459872,10.644237582854178,1.791603037809544,1.791603037809544,11.74570767459872,8.060516098420814,,,,
0.98,1981839323.0,1981863937.0,1982231187.0,114422.0,114422.0,114422.0,1,All in same halo,11373879.996,7343933.4180000005,5315719.314,2.804851912864577e+43,1.4826426699909486e+43,1.1946943260936829e+43,2.0299823179790324,4.919822561632932,6.447072448887283,2.0299823179790324,6.447072448887283,4.465625776166416,,,,
1.0,1981925789.0,1981809097.0,1982241422.0,37820.0,37820.0,37820.0,1,All in same halo,4003982.634,71477702.46000001,25569108.87,1.0392832380792134e+43,1.1112682945522758e+44,1.3250640746373718e+43,5.61679411082283,2.600190588494732,3.4951199160893234,2.600190588494732,5.61679411082283,3.9040348718022955,,,,
1.06,1981809097.0,1982241422.0,1982385665.0,38161.0,38161.0,38161.0,1,All in same halo,65992620.18,24336817.080000002,3195396.924,4.393112534107316e+44,1.208356928534571e+43,1.4283981604781673e+43,23.714862410654725,2.823561901989292,22.959380297895812,2.823561901989292,23.714862410654725,16.499268203513278,,,,
1.14,1982609533.0,1981810971.0,1982816159.0,109341.0,109341.0,109341.0,1,All in same halo,3642717.4499999997,40311412.38,5981144.933999999,1.0624736724064874e+43,1.236483109911197e+44,3.812621055474079e+43,2.387355881388781,5.0290553455548785,4.05609110469931,2.387355881388781,5.0290553455548785,3.82416744388099,,,,
1.19,1981808916.0,1982379053.0,1982807176.0,89425.0,89425.0,89425.0,1,All in same halo,29472859.53,14423787.243,10393223.424,5.731040940692396e+43,1.5082468578094628e+43,1.4367732356523693e+43,3.661538936691864,15.512698590473697,13.720202943094911,3.661538936691864,15.512698590473697,10.964813490086824,,,,
1.19,1981810971.0,1982033306.0,1982330381.0,109838.0,109838.0,109838.0,1,All in same halo,38173170.089999996,17868250.866,5441198.436,2.6057876058807283e+43,1.742805788722234e+43,1.8694223129471445e+43,1.5530615914644095,1.9817479308293167,2.7319572774224405,1.5530615914644095,2.7319572774224405,2.0889222665720557,,,,
1.22,1981810195.0,1982245919.0,1982259168.0,24095.0,24095.0,24095.0,1,All in same halo,374874352.5,22395096.360000003,31030297.95,5.3023561558467995e+44,1.2587670336784202e+44,4.79151716024554e+43,8.356195308560537,3.19088772246452,6.848652281679781,3.19088772246452,8.356195308560537,6.131911770901612,,,,
1.32,1981808792.0,1981811455.0,1983251148.0,101310.0,101310.0,101310.0,1,All in same halo,448389746.7,23043000.3,9635789.073,1.0932571474248156e+43,6.67624732465002e+43,6.493619271820648e+43,1.4514919867496408,2.970160309947677,2.6337497073165665,1.4514919867496408,2.970160309947677,2.3518006680046284,,,,
1.48,1981808650.0,1982040170.0,1982607859.0,77960.0,77960.0,77960.0,1,All in same halo,255527818.49999997,42657724.620000005,2651368.6709999996,3.870015350932828e+44,1.2774059731937367e+43,1.0839728556888903e+43,1.9531008451875496,4.847456446502276,5.3568516346773825,1.9531008451875496,5.3568516346773825,4.052469642122403,,,,
1.48,1981814168.0,1982130233.0,1982194976.0,114939.0,114939.0,114939.0,1,All in same halo,14899799.520000001,8838632.277,77352443.00999999,1.2285707610228717e+43,2.7768177355447923e+43,3.12513427073811e+44,3.586173820603943,2.8944785438917937,2.2654514246253856,2.2654514246253856,3.586173820603943,2.9153679297070405,,,,
1.5,1981810849.0,1981985461.0,1982072103.0,110151.0,110151.0,110151.0,1,All in same halo,157666049.94,16280707.013999999,10798272.897,2.170851957173287e+43,1.3433647639437142e+43,2.153143882233068e+43,2.5285124693294234,11.785043415911419,14.021964918532577,2.5285124693294234,14.021964918532577,9.445173601257807,,,,
