redshift,n_systems,n_pairs,mean_sep,std_sep,median_sep,min_sep,max_sep
0.21,1,3,5.838106909717112,2.3568192990972867,5.986313787197348,2.8803561530830724,8.647650788870916
0.25,1,3,5.1970293445550455,1.9536195914558105,4.923291683670839,2.9529855281450677,7.71481082184923
0.29,1,3,2.6204857390719614,0.4799885367880993,2.8528769716417215,1.9519503456204337,3.056629899953728
0.31,1,3,3.3218058287941816,0.6626771890861636,3.5439404771130083,2.4222565873310726,3.999220421938464
0.52,1,3,4.2632444844962665,1.4271237174098013,4.4339938012679,2.436273816610293,5.919465835610607
0.64,1,3,5.147971630804535,0.5395141006238167,5.0915936135713595,4.517199838965185,5.835121439877061
0.7,1,3,10.977857668142825,3.5403514937679246,11.828418733081481,6.279575561224339,14.825578710122654
0.77,4,12,7.488779717563864,4.765091930748516,5.797653979194749,2.7736233931016776,19.136935536327986
0.84,1,3,5.205217142997106,1.5722753369715174,6.0731283846723345,2.9983762578787854,6.544146786440199
0.91,2,6,11.792510172404839,7.613210772230987,11.154808169182987,2.271207364510921,22.428230416362574
0.98,1,3,8.858941000022432,3.633594928356928,9.760306767211711,4.027028497887323,12.789487734968256
1.0,1,3,7.807368841646156,2.5298803805926116,6.989996864225369,5.1995387276220475,11.232570933091052
1.14,1,3,8.185691701696417,2.3350485741036704,8.682212898479287,5.110104134064537,10.764758072545426
1.19,2,6,14.263175783260754,12.632494640042125,6.986034394604449,3.393760529045374,33.90003632333239
1.22,1,3,13.633154187100004,4.821637006731621,15.226502905269554,7.094685244981419,18.578274411049037
1.32,1,3,5.464583850320167,1.5130166080588774,6.119551609823117,3.3729877831209243,6.901212158016461
1.4,1,3,12.930108083392946,3.64236078345558,10.574247286208125,10.140970541616998,18.075106422353723
1.48,2,6,8.65216521276689,3.133758362762034,8.047186572423932,4.850672666366841,13.303731170529144
1.5,1,3,23.61057670626202,12.437112285681382,29.459638631753762,6.320670741317547,35.051420745714736
1.59,1,3,3.6647014561781046,1.3928433259719941,4.292488960169409,1.7338875041010247,4.967727904263881
1.67,2,6,12.359922671852196,3.650038991765705,12.101610041477187,7.993875021475068,17.113835426592694
1.79,2,6,12.434192727745332,7.198743462479116,8.489615300532513,5.476484305141373,25.990511639260554
1.9,4,12,11.895845348863242,8.13293770719339,9.658497061462631,0.5615234375,25.640427522985604
2.0,2,6,18.708390878065178,10.047138255963635,14.717808333844516,8.95504966406839,34.32116618962747
2.01,1,3,16.122510512681096,8.933272107627962,20.715266422489282,3.6337348669450216,24.018530248608982
2.25,4,12,12.147731366413717,8.563643893362382,10.572074522408858,2.106343319492385,35.0396414350788
2.38,2,6,13.69822184406111,12.061617880892452,6.7522199138131125,3.6802681748024555,32.38126178705163
2.5,1,3,3.1527908561611486,0.4562954500375242,3.12254252127656,2.609683812307485,3.7261462348994008
2.51,1,3,9.363629971674223,2.4951830480144452,9.495672645788273,6.243786240664402,12.351431028569998
2.52,3,9,5.250093164234132,1.9370026152830269,5.5284273200906044,1.8879456884403774,8.073163233447428
2.65,3,9,18.603417861454787,6.40980407206602,17.10170804689806,9.832973357793879,29.718715763974853
2.79,4,12,8.051782140847545,4.15878374014286,6.723316237374753,2.7274947444539963,17.18019886652252
2.93,7,21,8.257155368724055,3.708508336511861,7.371379610228553,3.262391931198211,15.365703749673077
2.98,3,9,7.967228207287873,8.062613665909636,4.6714953073692165,1.434790421044965,25.607499347773533
3.0,3,9,7.52205090590213,3.910521039140367,7.2174842705838484,2.8112038705358438,15.043919804894088
